#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 01 24 07 00 350  2.0  4.0   3.2    13    MM  MM 1032.6   6.9   8.9    MM   MM +1.4    MM
2019 01 24 06 00 300  4.0  6.0   2.8    13    MM  MM 1032.4   7.0   8.9    MM   MM +1.4    MM
2019 01 24 05 00 360  2.0  3.0   2.9    13    MM  MM 1031.5   7.5   8.9    MM   MM +0.2    MM
2019 01 24 04 00  70  2.0  4.0   2.7    14    MM  MM 1031.2   7.7   8.9    MM   MM +0.9    MM
2019 01 24 03 00  30  1.0  2.0   2.8    14    MM  MM 1031.0   7.5   8.9    MM   MM +1.4    MM
2019 01 24 02 00 330  3.0  4.0   2.7    14    MM  MM 1031.3   7.3   8.9    MM   MM +1.9    MM
2019 01 24 01 00 330  2.0  3.0   2.7    14    MM  MM 1030.3   7.3   8.9    MM   MM +1.2    MM
2019 01 24 00 00 360  2.0  3.0   2.5    12    MM  MM 1029.6   7.7   8.9    MM   MM +1.0    MM
2019 01 23 23 00  40  1.0  3.0   2.5    14    MM  MM 1029.4   7.7   8.9    MM   MM +1.1    MM
2019 01 23 22 00  10  2.0  4.0   2.7    11    MM  MM 1029.1   7.8   8.9    MM   MM +1.2    MM
2019 01 23 21 00  10  6.0  7.0   2.8    14    MM  MM 1028.6   8.1   8.9    MM   MM +1.6    MM
2019 01 23 20 00 350  5.0  7.0   3.0    11    MM  MM 1028.3   8.3   8.9    MM   MM +2.3    MM
2019 01 23 19 00 340  4.0  5.0   2.7    14    MM  MM 1027.9   8.4   8.9    MM   MM +3.0    MM
2019 01 23 18 00 330  6.0  7.0   3.0    13    MM  MM 1027.0   8.5   8.9    MM   MM +3.3    MM
2019 01 23 17 00 340  5.0  6.0   2.8    15    MM  MM 1026.0   8.6   8.9    MM   MM +3.5    MM
2019 01 23 16 00 340  6.0  7.0   2.5    14    MM  MM 1024.9   8.5   8.9    MM   MM +3.9    MM
2019 01 23 15 00 330  6.0  8.0   2.4    10    MM  MM 1023.7   8.8   8.9    MM   MM +3.5    MM
2019 01 23 14 00 330  7.0  9.0   2.4    14    MM  MM 1022.5   8.8   9.0    MM   MM +3.1    MM
2019 01 23 13 00 340  6.0  8.0   2.6    14    MM  MM 1021.0   8.8   9.0    MM   MM +2.1    MM
2019 01 23 12 00 330  7.0  8.0   2.5    15    MM  MM 1020.2   8.9   8.9    MM   MM +2.5    MM
2019 01 23 11 00 330  7.0  9.0   2.7    15    MM  MM 1019.4   9.0   9.0    MM   MM +2.5    MM
2019 01 23 10 00 310  8.0  9.0   2.5    14    MM  MM 1018.9   8.8   8.7    MM   MM +3.7    MM
2019 01 23 09 00 310  6.0  8.0   2.6    16    MM  MM 1017.7   8.6   8.7    MM   MM +3.2    MM
2019 01 23 08 00 310  7.0  9.0   2.5    15    MM  MM 1016.9   8.3   8.7    MM   MM +3.4    MM
2019 01 23 07 00  10  5.0  6.0   2.7    10    MM  MM 1015.2   8.6   8.7    MM   MM +2.4    MM
