"Station Name","EDMONTON INTL A"
"Province","ALBERTA"
"Latitude","53.31"
"Longitude","-113.58"
"Elevation","723.30"
"Climate Identifier","3012216"
"WMO Identifier","71123"
"TC Identifier","YEG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","-11.3","","-19.7","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","41","","13","","32",""
"2014-01-02","2014","01","02","","1.2","","-11.2","","-5.0","","23.0","","0.0","","2.4","","1.4","","3.6","","41","","14","","33",""
"2014-01-03","2014","01","03","","0.1","","-18.2","","-9.1","","27.1","","0.0","","0.0","","6.8","","4.6","","43","","34","","41",""
"2014-01-04","2014","01","04","","-18.2","","-28.1","","-23.2","","41.2","","0.0","","0.0","","0.0","T","0.0","T","44","","34","","57",""
"2014-01-05","2014","01","05","","-20.3","","-38.3","","-29.3","","47.3","","0.0","","0.0","","0.0","T","0.0","T","42","","34","","37",""
"2014-01-06","2014","01","06","","-2.0","","-20.6","","-11.3","","29.3","","0.0","","0.0","","2.6","","1.0","","42","","","","<31",""
"2014-01-07","2014","01","07","","-6.6","","-16.5","","-11.6","","29.6","","0.0","","0.0","","0.8","","0.4","","41","","14","","35",""
"2014-01-08","2014","01","08","","-4.9","","-16.0","","-10.5","","28.5","","0.0","","0.0","T","0.0","","0.0","T","42","","13","","35",""
"2014-01-09","2014","01","09","","-2.2","","-14.4","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","40","","","","<31",""
"2014-01-10","2014","01","10","","-1.0","","-17.4","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"2014-01-11","2014","01","11","","-1.4","","-11.9","","-6.7","","24.7","","0.0","","0.0","","0.4","","0.3","","40","","13","","59",""
"2014-01-12","2014","01","12","","-1.8","","-13.1","","-7.5","","25.5","","0.0","","0.0","","0.6","","0.2","","39","","32","","52",""
"2014-01-13","2014","01","13","","3.4","","-2.9","","0.3","","17.7","","0.0","","0.0","","1.2","","1.2","","38","","32","","50",""
"2014-01-14","2014","01","14","","5.1","","-10.4","","-2.7","","20.7","","0.0","","0.4","","0.8","","0.8","","35","","19","","37",""
"2014-01-15","2014","01","15","","8.8","","-1.2","","3.8","","14.2","","0.0","","0.0","","0.0","T","0.0","T","34","","31","","106",""
"2014-01-16","2014","01","16","","-0.1","","-6.8","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"2014-01-17","2014","01","17","","6.2","","-5.1","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","33","","29","","44",""
"2014-01-18","2014","01","18","","6.0","","-7.9","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","31","","28","","39",""
"2014-01-19","2014","01","19","","5.1","","-0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","31","","30","","69",""
"2014-01-20","2014","01","20","","1.2","","-13.5","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","31","","30","","41",""
"2014-01-21","2014","01","21","","0.6","","-14.3","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"2014-01-22","2014","01","22","","-5.8","","-16.1","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","30","","11","","35",""
"2014-01-23","2014","01","23","","4.9","","-11.2","","-3.2","","21.2","","0.0","","0.0","T","0.0","","0.0","T","31","","28","","37",""
"2014-01-24","2014","01","24","","7.2","","1.2","","4.2","","13.8","","0.0","","0.0","","0.0","","0.0","","31","","30","","37",""
"2014-01-25","2014","01","25","","7.5","","-1.1","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","31","","32","","57",""
"2014-01-26","2014","01","26","","4.1","","-19.8","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","25","","35","","74",""
"2014-01-27","2014","01","27","","-13.7","","-26.9","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"2014-01-28","2014","01","28","","0.1","","-18.1","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"2014-01-29","2014","01","29","","-5.2","","-14.8","","-10.0","","28.0","","0.0","","0.0","","1.7","","1.7","","24","","34","","46",""
"2014-01-30","2014","01","30","","-14.8","","-22.3","","-18.6","","36.6","","0.0","","0.0","","0.0","T","0.0","T","24","","35","","44",""
"2014-01-31","2014","01","31","","-9.4","","-21.6","","-15.5","","33.5","","0.0","","0.0","","0.4","","0.4","","24","","31","","54",""
"2014-02-01","2014","02","01","","-9.1","","-18.7","","-13.9","","31.9","","0.0","","0.0","","0.0","T","0.0","T","24","","32","","35",""
"2014-02-02","2014","02","02","","-8.2","","-18.4","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","24","","32","","41",""
"2014-02-03","2014","02","03","","-11.8","","-19.5","","-15.7","","33.7","","0.0","","0.0","","0.2","","0.2","","22","","35","","46",""
"2014-02-04","2014","02","04","","-18.1","","-29.2","","-23.7","","41.7","","0.0","","0.0","","0.2","","0.2","","22","","36","","37",""
"2014-02-05","2014","02","05","","-21.9","","-30.8","","-26.4","","44.4","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"2014-02-06","2014","02","06","","-13.5","","-30.4","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","21","","","","<31",""
"2014-02-07","2014","02","07","","-11.9","","-29.0","","-20.5","","38.5","","0.0","","0.0","","0.8","","0.4","","21","","","","<31",""
"2014-02-08","2014","02","08","","-15.6","","-31.3","","-23.5","","41.5","","0.0","","0.0","","0.2","","0.2","","22","","","","<31",""
"2014-02-09","2014","02","09","","-20.3","","-30.2","","-25.3","","43.3","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"2014-02-10","2014","02","10","","-20.0","","-33.6","","-26.8","","44.8","","0.0","","0.0","","0.3","","0.3","","22","","","","<31",""
"2014-02-11","2014","02","11","","-18.0","","-23.2","","-20.6","","38.6","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"2014-02-12","2014","02","12","","-16.0","","-19.6","","-17.8","","35.8","","0.0","","0.0","","0.4","","0.4","","22","","12","","50",""
"2014-02-13","2014","02","13","","-9.7","","-16.4","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"2014-02-14","2014","02","14","","-4.7","","-17.9","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","19","","13","","37",""
"2014-02-15","2014","02","15","","-2.5","","-14.8","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","19","","12","","41",""
"2014-02-16","2014","02","16","","-5.9","","-11.5","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","19","","12","","44",""
"2014-02-17","2014","02","17","","0.9","","-12.4","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"2014-02-18","2014","02","18","","1.1","","-10.7","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","19","","12","","39",""
"2014-02-19","2014","02","19","","-2.1","","-17.2","","-9.7","","27.7","","0.0","","0.0","","7.2","","5.8","","24","","12","","37",""
"2014-02-20","2014","02","20","","-6.8","E","-21.1","E","-14.0","E","32.0","E","0.0","E","","M","","M","0.0","T","28","","","M","","M"
"2014-02-21","2014","02","21","","-9.9","","-19.5","","-14.7","","32.7","","0.0","","0.0","","0.6","","0.4","","28","","29","","43",""
"2014-02-22","2014","02","22","","-15.6","E","-27.4","E","-21.5","E","39.5","E","0.0","E","","M","","M","0.0","T","28","","","M","","M"
"2014-02-23","2014","02","23","","-18.9","","-30.9","","-24.9","","42.9","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"2014-02-24","2014","02","24","","-13.8","","-35.6","","-24.7","","42.7","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"2014-02-25","2014","02","25","","-11.2","","-32.9","","-22.1","","40.1","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"2014-02-26","2014","02","26","","-7.6","","-23.4","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"2014-02-27","2014","02","27","","-6.2","","-25.4","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","25","","35","","61",""
"2014-02-28","2014","02","28","","-18.6","","-28.4","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","25","","34","","41",""
"2014-03-01","2014","03","01","","-24.5","","-39.0","","-31.8","","49.8","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"2014-03-02","2014","03","02","","-23.1","","-35.1","","-29.1","","47.1","","0.0","","0.0","","0.0","T","0.0","T","25","","12","","39",""
"2014-03-03","2014","03","03","","-18.2","","-24.2","","-21.2","","39.2","","0.0","","0.0","","2.4","","2.4","","25","","12","","33",""
"2014-03-04","2014","03","04","","-16.5","","-27.1","","-21.8","","39.8","","0.0","","0.0","","4.1","","3.7","","27","","","","<31",""
"2014-03-05","2014","03","05","","-15.0","","-33.0","","-24.0","","42.0","","0.0","","0.0","","1.0","","0.6","","31","","","","<31",""
"2014-03-06","2014","03","06","","-13.2","","-23.5","","-18.4","","36.4","","0.0","","0.0","","3.7","","1.8","","33","","","","<31",""
"2014-03-07","2014","03","07","","-9.4","","-16.7","","-13.1","","31.1","","0.0","","0.0","","0.8","","0.6","","35","","17","","32",""
"2014-03-08","2014","03","08","","6.8","","-11.0","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","35","","","","<31",""
"2014-03-09","2014","03","09","","8.8","","-6.0","","1.4","","16.6","","0.0","","0.0","T","0.0","","0.0","T","26","","29","","80",""
"2014-03-10","2014","03","10","","5.7","","-4.9","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","26","","31","","33",""
"2014-03-11","2014","03","11","","5.3","","-6.3","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","24","","27","","41",""
"2014-03-12","2014","03","12","","8.6","","-2.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","","","27","","35",""
"2014-03-13","2014","03","13","","4.2","","-4.9","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","21","","31","","59",""
"2014-03-14","2014","03","14","","1.8","","-9.0","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","21","","11","","44",""
"2014-03-15","2014","03","15","","5.8","","-5.3","","0.3","","17.7","","0.0","","0.0","T","0.0","","0.0","T","18","","14","","39",""
"2014-03-16","2014","03","16","","5.4","","-2.0","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"2014-03-17","2014","03","17","","3.7","","-5.1","","-0.7","","18.7","","0.0","","0.0","T","0.0","","0.0","T","13","","29","","43",""
"2014-03-18","2014","03","18","","3.3","","-4.3","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","13","","30","","35",""
"2014-03-19","2014","03","19","","3.9","","-7.3","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
