# 20Msun surface properties as a function of time; 
# Created with notebook "20Msun-surfacedata.ipynb" on 
# NuGrid server http://wendi1.phys.uvic.ca
# Cols:   star_age [yr], log_L [log10 L/Lsun],    log_Teff [log10 T/K],    log_R [log10 R/Rsun],    log_g [log g [cgs]]
6.250000000000001682e-11 4.190689950571043099e+00 3.502630060967596215e+00 2.613343689802956948e+00 5.122319694711924276e-01
1.125000000000000122e-10 4.201859950931701171e+00 3.505438802160207867e+00 2.613311207598062680e+00 5.122969338809815198e-01
1.632832422125913382e-10 4.201845966017196510e+00 3.505434574592834807e+00 2.613312670275556027e+00 5.122940085259944931e-01
2.242231328677009345e-10 4.201830559252612396e+00 3.505431514088626965e+00 2.613311087901679652e+00 5.122971732737475747e-01
2.973510016538324708e-10 4.201817920746989010e+00 3.505428314856145811e+00 2.613311167113830269e+00 5.122970148494456755e-01
3.851044441971902420e-10 4.201803894054688016e+00 3.505424779181427475e+00 2.613311225117116887e+00 5.122968988428727721e-01
4.904085752492196191e-10 4.201789450167884077e+00 3.505421230801068599e+00 2.613311099934432669e+00 5.122971492082410983e-01
6.167735325116548716e-10 4.201775590245051539e+00 3.505417681747995839e+00 2.613311268079161476e+00 5.122968129187835951e-01
7.684114812265771333e-10 4.201759676539817079e+00 3.505413682252042751e+00 2.613311310218451311e+00 5.122967286402043685e-01
9.503770196844838887e-10 4.201742648986308559e+00 3.505409477895720549e+00 2.613311205154341010e+00 5.122969387684244147e-01
1.168735665833972037e-09 4.201724758145697791e+00 3.505404985061294276e+00 2.613311245402888616e+00 5.122968582713296470e-01
1.430766041213357897e-09 4.201704797482246789e+00 3.505399984916870881e+00 2.613311265360009461e+00 5.122968183570875134e-01
1.745202491668620639e-09 4.201683136744073899e+00 3.505394583667962749e+00 2.613311237488739280e+00 5.122968740996278747e-01
2.122526232214935806e-09 4.201660721449522740e+00 3.505388975077012415e+00 2.613311247023364370e+00 5.122968550303778068e-01
2.575314720870514338e-09 4.201634684008927145e+00 3.505382437675203633e+00 2.613311303106684136e+00 5.122967428637381637e-01
3.118660907257208658e-09 4.201606764892876100e+00 3.505375428597990783e+00 2.613311361703084756e+00 5.122966256709375887e-01
3.770676330921241842e-09 4.201576132442824907e+00 3.505367787212470443e+00 2.613311328249098953e+00 5.122966925789087522e-01
4.553094839318081498e-09 4.201543695560857827e+00 3.505359643902167921e+00 2.613311396428720457e+00 5.122965562196659661e-01
5.491997049394289085e-09 4.201506736992840274e+00 3.505350383265667169e+00 2.613311438417713628e+00 5.122964722416791794e-01
6.618679701485737197e-09 4.201467507529480727e+00 3.505340547819228547e+00 2.613311494578911098e+00 5.122963599192846829e-01
7.970698883995475262e-09 4.201424609262094378e+00 3.505329785285489663e+00 2.613311570512695692e+00 5.122962080517152739e-01
9.593121903007161601e-09 4.201376199274956313e+00 3.505317737963828062e+00 2.613311460162449418e+00 5.122964287522078219e-01
1.154002952582118455e-08 4.201323415591955879e+00 3.505304512908588244e+00 2.613311518431428837e+00 5.122963122142486503e-01
1.387631867319801341e-08 4.201266433208158624e+00 3.505290287226368928e+00 2.613311478603968840e+00 5.122963918691693097e-01
1.667986565005020539e-08 4.201202215242907378e+00 3.505274120655385239e+00 2.613311702763311040e+00 5.122959435504850223e-01
2.004412202227284040e-08 4.201132290266087033e+00 3.505256689702549444e+00 2.613311602180572457e+00 5.122961447159617432e-01
2.408122966893999778e-08 4.201054345468116402e+00 3.505237137440988970e+00 2.613311734304708089e+00 5.122958804676907008e-01
2.892575884494058664e-08 4.200968297762447179e+00 3.505215535220333134e+00 2.613311914893184706e+00 5.122955192907371336e-01
3.473919385614129394e-08 4.200871467388306968e+00 3.505191271348021775e+00 2.613312027450737762e+00 5.122952941756306888e-01
4.171531586958214666e-08 4.200764709756330539e+00 3.505164558676732156e+00 2.613312073977328787e+00 5.122952011224490843e-01
5.008666228571116330e-08 4.200647306777555379e+00 3.505135177059051532e+00 2.613312135723302898e+00 5.122950776305009724e-01
6.013227798506597667e-08 4.200514569289294009e+00 3.505101905932077155e+00 2.613312309233120523e+00 5.122947306108651677e-01
