#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 02 13 21 00  80  2.0  3.0   1.1    12    MM  MM 1003.8   1.2   7.1    MM   MM -1.5    MM
2019 02 13 20 00  60  2.0  4.0   1.1    11    MM  MM 1004.4   1.2   6.9    MM   MM -1.2    MM
2019 02 13 19 00  40  3.0  4.0   1.1    12    MM  MM 1004.8   0.9   6.9    MM   MM -0.9    MM
2019 02 13 18 00  40  3.0  5.0   1.1    12    MM  MM 1005.3   0.7   6.8    MM   MM -0.4    MM
2019 02 13 17 00  40  3.0  4.0   1.1    11    MM  MM 1005.6   0.6   6.8    MM   MM -0.5    MM
2019 02 13 16 00  40  4.0  6.0   1.2    11    MM  MM 1005.7   0.3   6.7    MM   MM -0.6    MM
2019 02 13 15 00  30  4.0  7.0   1.2    12    MM  MM 1005.7   0.3   6.7    MM   MM -0.8    MM
2019 02 13 14 00  20  5.0  7.0   1.2    12    MM  MM 1006.1   0.4   6.8    MM   MM -0.7    MM
2019 02 13 13 00  20  5.0  7.0   1.3    11    MM  MM 1006.3   0.4   6.9    MM   MM -0.9    MM
2019 02 13 12 00  20  5.0  7.0   1.4    12    MM  MM 1006.5   0.6   6.9    MM   MM -0.8    MM
2019 02 13 11 00  30  5.0  7.0   1.4    12    MM  MM 1006.8   0.6   7.0    MM   MM -0.3    MM
2019 02 13 10 00  20  6.0  7.0   1.6    12    MM  MM 1007.2   0.7   7.0    MM   MM -0.1    MM
2019 02 13 09 00  30  6.0  8.0   1.5    12    MM  MM 1007.3   0.8   7.0    MM   MM +0.5    MM
2019 02 13 08 00  30  6.0   MM    MM    MM    MM  MM 1007.1   0.8    MM    MM   MM +0.7    MM
2019 02 13 07 00  30  7.0  8.0   1.7    12    MM  MM 1007.3   0.9   7.1    MM   MM +1.4    MM
2019 02 13 06 00  30  7.0  9.0   1.8    12    MM  MM 1006.8   0.9   7.1    MM   MM +1.0    MM
2019 02 13 05 00  20  7.0  9.0   1.8    13    MM  MM 1006.4   1.1   7.1    MM   MM +0.8    MM
2019 02 13 04 00  20  9.0 11.0   1.8    12    MM  MM 1005.9   1.1   7.0    MM   MM +0.4    MM
2019 02 13 03 00  10  8.0 10.0   1.9    13    MM  MM 1005.8   1.1   7.0    MM   MM +0.3    MM
2019 02 13 02 00  20  8.0 11.0   1.9     5    MM  MM 1005.6   1.2   7.0    MM   MM +0.0    MM
2019 02 13 01 00  10  9.0 13.0   1.9    14    MM  MM 1005.5   1.4   7.0    MM   MM -0.1    MM
2019 02 13 00 00   0  9.0 12.0   1.9    14    MM  MM 1005.5   1.6   7.0    MM   MM -0.4    MM
2019 02 12 23 00  10  9.0 12.0   1.9    14    MM  MM 1005.6   1.0   7.1    MM   MM -1.0    MM
2019 02 12 22 00  20 10.0 13.0   2.0    14    MM  MM 1005.6   0.8   7.1    MM   MM -1.1    MM
2019 02 12 21 00  20 10.0 13.0   2.0    14    MM  MM 1005.9   0.7   7.1    MM   MM -0.7    MM
