"Station Name","EDMONTON INTL A"
"Province","ALBERTA"
"Latitude","53.31"
"Longitude","-113.58"
"Elevation","723.30"
"Climate Identifier","3012216"
"WMO Identifier","71123"
"TC Identifier","YEG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2017-01-01","2017","01","01","","-9.6","","-19.7","","-14.7","","32.7","","0.0","","0.0","","1.2","","1.0","","12","","36","","43",""
"2017-01-02","2017","01","02","","-15.8","","-31.4","","-23.6","","41.6","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"2017-01-03","2017","01","03","","-14.1","","-22.9","","-18.5","","36.5","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"2017-01-04","2017","01","04","","-7.9","","-15.6","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"2017-01-05","2017","01","05","","-5.8","","-14.7","","-10.3","","28.3","","0.0","","0.0","","1.8","","1.8","","13","","","","<31",""
"2017-01-06","2017","01","06","","-14.4","","-21.2","","-17.8","","35.8","","0.0","","0.0","","0.2","","0.2","","14","","13","","35",""
"2017-01-07","2017","01","07","","-15.5","","-21.1","","-18.3","","36.3","","0.0","","0.0","","0.4","","0.2","","14","","36","","35",""
"2017-01-08","2017","01","08","","-19.7","","-22.3","","-21.0","","39.0","","0.0","","0.0","","0.8","","0.4","","15","","","","<31",""
"2017-01-09","2017","01","09","","-17.7","","-21.8","","-19.8","","37.8","","0.0","","0.0","","5.4","","5.4","","17","","","","<31",""
"2017-01-10","2017","01","10","","-17.8","","-32.5","","-25.2","","43.2","","0.0","","0.0","","0.4","","0.4","","18","","34","","54",""
"2017-01-11","2017","01","11","","-6.2","","-23.5","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","18","","32","","82",""
"2017-01-12","2017","01","12","","-14.1","","-31.7","","-22.9","","40.9","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
